dataset,n,d,labels,k,noise,g
g2mg/g2mg_1_10,2048,1,labels0,2,0,0.0
g2mg/g2mg_1_10,2048,1,labels1,2,0,0.0
g2mg/g2mg_1_20,2048,1,labels0,2,0,0.0
g2mg/g2mg_1_20,2048,1,labels1,2,0,0.0009765625
g2mg/g2mg_1_30,2048,1,labels0,2,0,0.0
g2mg/g2mg_1_30,2048,1,labels1,2,0,0.005859375
g2mg/g2mg_1_40,2048,1,labels0,2,0,0.0
g2mg/g2mg_1_40,2048,1,labels1,2,0,0.01171875
g2mg/g2mg_1_50,2048,1,labels0,2,0,0.0
g2mg/g2mg_1_50,2048,1,labels1,2,0,0.005859375
g2mg/g2mg_1_60,2048,1,labels0,2,0,0.0
g2mg/g2mg_1_60,2048,1,labels1,2,0,0.0205078125
g2mg/g2mg_1_70,2048,1,labels0,2,0,0.0
g2mg/g2mg_1_70,2048,1,labels1,2,0,0.013671875
g2mg/g2mg_1_80,2048,1,labels0,2,0,0.0
g2mg/g2mg_1_80,2048,1,labels1,2,0,0.0029296875
g2mg/g2mg_1_90,2048,1,labels0,2,0,0.0
g2mg/g2mg_1_90,2048,1,labels1,2,0,0.00390625
g2mg/g2mg_2_10,2048,2,labels0,2,0,0.0
g2mg/g2mg_2_10,2048,2,labels1,2,0,0.0
g2mg/g2mg_2_20,2048,2,labels0,2,0,0.0
g2mg/g2mg_2_20,2048,2,labels1,2,0,0.0
g2mg/g2mg_2_30,2048,2,labels0,2,0,0.0
g2mg/g2mg_2_30,2048,2,labels1,2,0,0.0048828125
g2mg/g2mg_2_40,2048,2,labels0,2,0,0.0
g2mg/g2mg_2_40,2048,2,labels1,2,0,0.005859375
g2mg/g2mg_2_50,2048,2,labels0,2,0,0.0
g2mg/g2mg_2_50,2048,2,labels1,2,0,0.005859375
g2mg/g2mg_2_60,2048,2,labels0,2,0,0.0
g2mg/g2mg_2_60,2048,2,labels1,2,0,0.0029296875
g2mg/g2mg_2_70,2048,2,labels0,2,0,0.0
g2mg/g2mg_2_70,2048,2,labels1,2,0,0.0078125
g2mg/g2mg_2_80,2048,2,labels0,2,0,0.0
g2mg/g2mg_2_80,2048,2,labels1,2,0,0.0087890625
g2mg/g2mg_2_90,2048,2,labels0,2,0,0.0
g2mg/g2mg_2_90,2048,2,labels1,2,0,0.0205078125
g2mg/g2mg_4_10,2048,4,labels0,2,0,0.0
g2mg/g2mg_4_10,2048,4,labels1,2,0,0.0
