dataset,n,d,labels,k,noise,g
h2mg/h2mg_1_10,2048,1,labels0,2,0,0.0
h2mg/h2mg_1_10,2048,1,labels1,2,0,0.0
h2mg/h2mg_1_20,2048,1,labels0,2,0,0.0
h2mg/h2mg_1_20,2048,1,labels1,2,0,0.01171875
h2mg/h2mg_1_30,2048,1,labels0,2,0,0.0
h2mg/h2mg_1_30,2048,1,labels1,2,0,0.09375
h2mg/h2mg_1_40,2048,1,labels0,2,0,0.0
h2mg/h2mg_1_40,2048,1,labels1,2,0,0.21875
h2mg/h2mg_1_50,2048,1,labels0,2,0,0.0
h2mg/h2mg_1_50,2048,1,labels1,2,0,0.32421875
h2mg/h2mg_1_60,2048,1,labels0,2,0,0.0
h2mg/h2mg_1_60,2048,1,labels1,2,0,0.408203125
h2mg/h2mg_1_70,2048,1,labels0,2,0,0.0
h2mg/h2mg_1_70,2048,1,labels1,2,0,0.470703125
h2mg/h2mg_1_80,2048,1,labels0,2,0,0.0
h2mg/h2mg_1_80,2048,1,labels1,2,0,0.53125
h2mg/h2mg_1_90,2048,1,labels0,2,0,0.0
h2mg/h2mg_1_90,2048,1,labels1,2,0,0.5693359375
h2mg/h2mg_2_10,2048,2,labels0,2,0,0.0
h2mg/h2mg_2_10,2048,2,labels1,2,0,0.0
h2mg/h2mg_2_20,2048,2,labels0,2,0,0.0
h2mg/h2mg_2_20,2048,2,labels1,2,0,0.0029296875
h2mg/h2mg_2_30,2048,2,labels0,2,0,0.0
h2mg/h2mg_2_30,2048,2,labels1,2,0,0.01171875
h2mg/h2mg_2_40,2048,2,labels0,2,0,0.0
h2mg/h2mg_2_40,2048,2,labels1,2,0,0.00390625
h2mg/h2mg_2_50,2048,2,labels0,2,0,0.0
h2mg/h2mg_2_50,2048,2,labels1,2,0,0.0009765625
h2mg/h2mg_2_60,2048,2,labels0,2,0,0.0
h2mg/h2mg_2_60,2048,2,labels1,2,0,0.0048828125
h2mg/h2mg_2_70,2048,2,labels0,2,0,0.0
h2mg/h2mg_2_70,2048,2,labels1,2,0,0.001953125
h2mg/h2mg_2_80,2048,2,labels0,2,0,0.0
h2mg/h2mg_2_80,2048,2,labels1,2,0,0.0107421875
h2mg/h2mg_2_90,2048,2,labels0,2,0,0.0
h2mg/h2mg_2_90,2048,2,labels1,2,0,0.0166015625
h2mg/h2mg_4_10,2048,4,labels0,2,0,0.0
h2mg/h2mg_4_10,2048,4,labels1,2,0,0.0
h2mg/h2mg_4_20,2048,4,labels0,2,0,0.0
h2mg/h2mg_4_20,2048,4,labels1,2,0,0.0068359375
h2mg/h2mg_4_30,2048,4,labels0,2,0,0.0
h2mg/h2mg_4_30,2048,4,labels1,2,0,0.0078125
h2mg/h2mg_4_40,2048,4,labels0,2,0,0.0
h2mg/h2mg_4_40,2048,4,labels1,2,0,0.0068359375
h2mg/h2mg_4_50,2048,4,labels0,2,0,0.0
h2mg/h2mg_4_50,2048,4,labels1,2,0,0.0009765625
h2mg/h2mg_4_60,2048,4,labels0,2,0,0.0
h2mg/h2mg_4_60,2048,4,labels1,2,0,0.0224609375
h2mg/h2mg_4_70,2048,4,labels0,2,0,0.0
h2mg/h2mg_4_70,2048,4,labels1,2,0,0.01953125
h2mg/h2mg_4_80,2048,4,labels0,2,0,0.0
h2mg/h2mg_4_80,2048,4,labels1,2,0,0.0224609375
h2mg/h2mg_4_90,2048,4,labels0,2,0,0.0
h2mg/h2mg_4_90,2048,4,labels1,2,0,0.0166015625
h2mg/h2mg_8_10,2048,8,labels0,2,0,0.0
h2mg/h2mg_8_10,2048,8,labels1,2,0,0.0
h2mg/h2mg_8_20,2048,8,labels0,2,0,0.0
h2mg/h2mg_8_20,2048,8,labels1,2,0,0.0
h2mg/h2mg_8_30,2048,8,labels0,2,0,0.0
h2mg/h2mg_8_30,2048,8,labels1,2,0,0.0185546875
h2mg/h2mg_8_40,2048,8,labels0,2,0,0.0
h2mg/h2mg_8_40,2048,8,labels1,2,0,0.021484375
h2mg/h2mg_8_50,2048,8,labels0,2,0,0.0
h2mg/h2mg_8_50,2048,8,labels1,2,0,0.0029296875
h2mg/h2mg_8_60,2048,8,labels0,2,0,0.0
h2mg/h2mg_8_60,2048,8,labels1,2,0,0.0029296875
h2mg/h2mg_8_70,2048,8,labels0,2,0,0.0
h2mg/h2mg_8_70,2048,8,labels1,2,0,0.0029296875
h2mg/h2mg_8_80,2048,8,labels0,2,0,0.0
h2mg/h2mg_8_80,2048,8,labels1,2,0,0.005859375
h2mg/h2mg_8_90,2048,8,labels0,2,0,0.0
h2mg/h2mg_8_90,2048,8,labels1,2,0,0.009765625
h2mg/h2mg_16_10,2048,16,labels0,2,0,0.0
h2mg/h2mg_16_10,2048,16,labels1,2,0,0.0
h2mg/h2mg_16_20,2048,16,labels0,2,0,0.0
h2mg/h2mg_16_20,2048,16,labels1,2,0,0.00390625
h2mg/h2mg_16_30,2048,16,labels0,2,0,0.0
h2mg/h2mg_16_30,2048,16,labels1,2,0,0.0029296875
h2mg/h2mg_16_40,2048,16,labels0,2,0,0.0
h2mg/h2mg_16_40,2048,16,labels1,2,0,0.009765625
h2mg/h2mg_16_50,2048,16,labels0,2,0,0.0
h2mg/h2mg_16_50,2048,16,labels1,2,0,0.021484375
h2mg/h2mg_16_60,2048,16,labels0,2,0,0.0
h2mg/h2mg_16_60,2048,16,labels1,2,0,0.00390625
h2mg/h2mg_16_70,2048,16,labels0,2,0,0.0
h2mg/h2mg_16_70,2048,16,labels1,2,0,0.009765625
h2mg/h2mg_16_80,2048,16,labels0,2,0,0.0
h2mg/h2mg_16_80,2048,16,labels1,2,0,0.0029296875
h2mg/h2mg_16_90,2048,16,labels0,2,0,0.0
h2mg/h2mg_16_90,2048,16,labels1,2,0,0.001953125
h2mg/h2mg_32_10,2048,32,labels0,2,0,0.0
h2mg/h2mg_32_10,2048,32,labels1,2,0,0.0009765625
h2mg/h2mg_32_20,2048,32,labels0,2,0,0.0
h2mg/h2mg_32_20,2048,32,labels1,2,0,0.005859375
h2mg/h2mg_32_30,2048,32,labels0,2,0,0.0
h2mg/h2mg_32_30,2048,32,labels1,2,0,0.0068359375
h2mg/h2mg_32_40,2048,32,labels0,2,0,0.0
h2mg/h2mg_32_40,2048,32,labels1,2,0,0.0166015625
h2mg/h2mg_32_50,2048,32,labels0,2,0,0.0
h2mg/h2mg_32_50,2048,32,labels1,2,0,0.0185546875
h2mg/h2mg_32_60,2048,32,labels0,2,0,0.0
h2mg/h2mg_32_60,2048,32,labels1,2,0,0.0107421875
h2mg/h2mg_32_70,2048,32,labels0,2,0,0.0
h2mg/h2mg_32_70,2048,32,labels1,2,0,0.0078125
h2mg/h2mg_32_80,2048,32,labels0,2,0,0.0
h2mg/h2mg_32_80,2048,32,labels1,2,0,0.00390625
h2mg/h2mg_32_90,2048,32,labels0,2,0,0.0
h2mg/h2mg_32_90,2048,32,labels1,2,0,0.0078125
h2mg/h2mg_64_10,2048,64,labels0,2,0,0.0
h2mg/h2mg_64_10,2048,64,labels1,2,0,0.0
h2mg/h2mg_64_20,2048,64,labels0,2,0,0.0
h2mg/h2mg_64_20,2048,64,labels1,2,0,0.0029296875
h2mg/h2mg_64_30,2048,64,labels0,2,0,0.0
h2mg/h2mg_64_30,2048,64,labels1,2,0,0.0107421875
h2mg/h2mg_64_40,2048,64,labels0,2,0,0.0
h2mg/h2mg_64_40,2048,64,labels1,2,0,0.0068359375
h2mg/h2mg_64_50,2048,64,labels0,2,0,0.0
h2mg/h2mg_64_50,2048,64,labels1,2,0,0.00390625
h2mg/h2mg_64_60,2048,64,labels0,2,0,0.0
h2mg/h2mg_64_60,2048,64,labels1,2,0,0.0107421875
h2mg/h2mg_64_70,2048,64,labels0,2,0,0.0
h2mg/h2mg_64_70,2048,64,labels1,2,0,0.0087890625
h2mg/h2mg_64_80,2048,64,labels0,2,0,0.0
h2mg/h2mg_64_80,2048,64,labels1,2,0,0.00390625
h2mg/h2mg_64_90,2048,64,labels0,2,0,0.0
h2mg/h2mg_64_90,2048,64,labels1,2,0,0.0048828125
h2mg/h2mg_128_10,2048,128,labels0,2,0,0.0
h2mg/h2mg_128_10,2048,128,labels1,2,0,0.001953125
h2mg/h2mg_128_20,2048,128,labels0,2,0,0.0
h2mg/h2mg_128_20,2048,128,labels1,2,0,0.0068359375
h2mg/h2mg_128_30,2048,128,labels0,2,0,0.0
h2mg/h2mg_128_30,2048,128,labels1,2,0,0.001953125
h2mg/h2mg_128_40,2048,128,labels0,2,0,0.0
h2mg/h2mg_128_40,2048,128,labels1,2,0,0.0146484375
h2mg/h2mg_128_50,2048,128,labels0,2,0,0.0
h2mg/h2mg_128_50,2048,128,labels1,2,0,0.0107421875
h2mg/h2mg_128_60,2048,128,labels0,2,0,0.0
h2mg/h2mg_128_60,2048,128,labels1,2,0,0.0126953125
h2mg/h2mg_128_70,2048,128,labels0,2,0,0.0
h2mg/h2mg_128_70,2048,128,labels1,2,0,0.0146484375
h2mg/h2mg_128_80,2048,128,labels0,2,0,0.0
h2mg/h2mg_128_80,2048,128,labels1,2,0,0.0146484375
h2mg/h2mg_128_90,2048,128,labels0,2,0,0.0
h2mg/h2mg_128_90,2048,128,labels1,2,0,0.0126953125
