dataset,n,d,labels,k,noise,g
sipu/a1,3000,2,labels0,20,0,0.0
sipu/a2,5250,2,labels0,35,0,0.0
sipu/a3,7500,2,labels0,50,0,0.0
sipu/aggregation,788,2,labels0,7,0,0.4543147208121827
sipu/birch1,100000,2,labels0,100,0,0.007558989898989899
sipu/birch2,100000,2,labels0,100,0,0.0004278787878787879
sipu/compound,399,2,labels0,6,0,0.4395989974937343
sipu/compound,399,2,labels1,4,0,0.4051796157059315
sipu/compound,399,2,labels2,5,50,0.4828080229226361
sipu/compound,399,2,labels3,4,50,0.4154727793696275
sipu/compound,399,2,labels4,5,0,0.4849624060150376
sipu/d31,3100,2,labels0,31,0,0.0
sipu/flame,240,2,labels0,2,0,0.275
sipu/flame,240,2,labels1,2,12,0.2719298245614035
sipu/jain,373,2,labels0,2,0,0.47989276139410186
sipu/pathbased,300,2,labels0,3,0,0.056666666666666664
sipu/pathbased,300,2,labels1,4,0,0.19555555555555554
sipu/r15,600,2,labels0,15,0,0.0
sipu/r15,600,2,labels1,9,0,0.4
sipu/r15,600,2,labels2,8,0,0.4666666666666667
sipu/s1,5000,2,labels0,15,0,0.027571428571428573
sipu/s2,5000,2,labels0,15,0,0.0274
sipu/s3,5000,2,labels0,15,0,0.0256
sipu/s4,5000,2,labels0,15,0,0.026314285714285717
sipu/spiral,312,2,labels0,3,0,0.016025641025641024
sipu/unbalance,6500,2,labels0,8,0,0.6263736263736264
sipu/worms_2,105600,2,labels0,35,0,0.2825133689839572
sipu/worms_64,105000,64,labels0,25,0,0.0
