dataset,n,d,labels,k,noise,g
wut/circles,4000,2,labels0,4,0,0.0
wut/cross,2000,2,labels0,4,0,0.0
wut/graph,2500,2,labels0,10,0,0.0
wut/isolation,9000,2,labels0,3,0,0.0
wut/labirynth,3546,2,labels0,6,0,0.5008460236886633
wut/mk1,300,2,labels0,3,0,0.0
wut/mk2,1000,2,labels0,2,0,0.0
wut/mk3,600,3,labels0,3,0,0.0
wut/mk4,1500,3,labels0,3,0,0.0
wut/olympic,5000,2,labels0,5,0,0.0
wut/smile,1000,2,labels0,6,0,0.4
wut/smile,1000,2,labels1,4,0,0.4
wut/stripes,5000,2,labels0,2,0,0.0
wut/trajectories,10000,2,labels0,4,0,0.0
wut/trapped_lovers,5000,3,labels0,3,0,0.4
wut/twosplashes,400,2,labels0,2,0,0.0
wut/windows,2977,2,labels0,5,0,0.5784346657709103
wut/x1,120,2,labels0,3,0,0.16666666666666666
wut/x2,120,2,labels0,3,0,0.16666666666666666
wut/x3,185,2,labels0,4,0,0.20720720720720723
wut/z1,192,2,labels0,3,0,0.0
wut/z2,900,2,labels0,5,0,0.5833333333333334
wut/z3,1000,2,labels0,4,0,0.3333333333333333
