"dataset","preprocess","labels","method","ar","r","fm","afm","mi","nmi","ami"
"g2mg/g2mg_1_10","std","labels0","Genie_g0.1:M25",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g0.3:M25",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g0.5:M25",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g0.7:M25",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g1.0:M25",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g0.1:M15",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g0.3:M15",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g0.5:M15",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g0.7:M15",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g1.0:M15",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g0.1:M9",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g0.3:M9",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g0.5:M9",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g0.7:M9",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g1.0:M9",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g0.1:M5",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g0.3:M5",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g0.5:M5",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g0.7:M5",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g1.0:M5",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g0.1:M3",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g0.3:M3",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g0.5:M3",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g0.7:M3",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g1.0:M3",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g0.1:M1",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g0.3:M1",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g0.5:M1",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g0.7:M1",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","Genie_g1.0:M1",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","GIc_A5_TC3:M25",0.9980468745347939,0.9990234375,0.9990229606631832,0.9980468745350212,0.6892741532513607,0.9944127447522115,0.9944107746688369
"g2mg/g2mg_1_10","std","labels0","GIc_A5_TC11:M25",0.9980468745347939,0.9990234375,0.9990229606631832,0.9980468745350212,0.6892741532513607,0.9944127447522115,0.9944107746688369
"g2mg/g2mg_1_10","std","labels0","GIc_A1_TC3:M25",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","GIc_A1_TC11:M25",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","GIc_A0_TC3:M25",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","GIc_A0_TC11:M25",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","GIc_A0_TC0:M25",0.9689789899476362,0.9844894968246214,0.9844838191984744,0.9689790044059586,0.652782686745903,0.9418492829704731,0.9418287770447112
"g2mg/g2mg_1_10","std","labels0","GIc_A5_TC3:M15",0.9980468745347939,0.9990234375,0.9990229606631832,0.9980468745350212,0.6892741532513607,0.9944127447522115,0.9944107746688369
"g2mg/g2mg_1_10","std","labels0","GIc_A5_TC11:M15",0.9980468745347939,0.9990234375,0.9990229606631832,0.9980468745350212,0.6892741532513607,0.9944127447522115,0.9944107746688369
"g2mg/g2mg_1_10","std","labels0","GIc_A1_TC3:M15",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
"g2mg/g2mg_1_10","std","labels0","GIc_A1_TC11:M15",1.0,1.0,1.0,1.0,0.6931471805599453,1.0,1.0
