"dataset","preprocess","labels","method","ar","r","fm","afm","mi","nmi","ami"
"graves/dense","std","labels0","Genie_g0.1:M25",0.6222856424402444,0.8111055276381909,0.8144811690180798,0.6225862206122267,0.41395384942892205,0.6069351387610009,0.6054773910106629
"graves/dense","std","labels0","Genie_g0.3:M25",0.6222856424402444,0.8111055276381909,0.8144811690180798,0.6225862206122267,0.41395384942892205,0.6069351387610009,0.6054773910106629
"graves/dense","std","labels0","Genie_g0.5:M25",0.6222856424402444,0.8111055276381909,0.8144811690180798,0.6225862206122267,0.41395384942892205,0.6069351387610009,0.6054773910106629
"graves/dense","std","labels0","Genie_g0.7:M25",0.6222856424402444,0.8111055276381909,0.8144811690180798,0.6225862206122267,0.41395384942892205,0.6069351387610009,0.6054773910106629
"graves/dense","std","labels0","Genie_g1.0:M25",0.6222856424402444,0.8111055276381909,0.8144811690180798,0.6225862206122267,0.41395384942892205,0.6069351387610009,0.6054773910106629
"graves/dense","std","labels0","GIc_A5_TC3:M25",0.8830142482257899,0.9415075376884422,0.9413203645373472,0.8830171473738209,0.577862337751437,0.8347636587075121,0.8341601851561745
"graves/dense","std","labels0","GIc_A5_TC11:M25",0.8830142482257899,0.9415075376884422,0.9413203645373472,0.8830171473738209,0.577862337751437,0.8347636587075121,0.8341601851561745
"graves/dense","std","labels0","GIc_A1_TC3:M25",0.6222856424402444,0.8111055276381909,0.8144811690180798,0.6225862206122267,0.41395384942892205,0.6069351387610009,0.6054773910106629
"graves/dense","std","labels0","GIc_A1_TC11:M25",0.6222856424402444,0.8111055276381909,0.8144811690180798,0.6225862206122267,0.41395384942892205,0.6069351387610009,0.6054773910106629
"graves/dense","std","labels0","GIc_A0_TC3:M25",0.6222856424402444,0.8111055276381909,0.8144811690180798,0.6225862206122267,0.41395384942892205,0.6069351387610009,0.6054773910106629
"graves/dense","std","labels0","GIc_A0_TC11:M25",0.6222856424402444,0.8111055276381909,0.8144811690180798,0.6225862206122267,0.41395384942892205,0.6069351387610009,0.6054773910106629
"graves/dense","std","labels0","GIc_A0_TC0:M25",0.8642193911693035,0.9321105527638192,0.9318544609714189,0.8642207602974407,0.5504121307773542,0.794793803596473,0.7940446603152969
"graves/dense","std","labels0","Genie_g0.1:M15",0.8272388856819494,0.9136180904522613,0.9135431186280095,0.827252604347928,0.5378227837192375,0.7781907933924852,0.7773793411625971
"graves/dense","std","labels0","Genie_g0.3:M15",0.8272388856819494,0.9136180904522613,0.9135431186280095,0.827252604347928,0.5378227837192375,0.7781907933924852,0.7773793411625971
"graves/dense","std","labels0","Genie_g0.5:M15",0.8272388856819494,0.9136180904522613,0.9135431186280095,0.827252604347928,0.5378227837192375,0.7781907933924852,0.7773793411625971
"graves/dense","std","labels0","Genie_g0.7:M15",0.8272388856819494,0.9136180904522613,0.9135431186280095,0.827252604347928,0.5378227837192375,0.7781907933924852,0.7773793411625971
