"dataset","preprocess","labels","method","ar","r","fm","afm","mi","nmi","ami"
"mnist/digits","robuststd","labels0","Genie_g0.1:M25",0.5889668006895625,0.9211113219984776,0.6343567813747656,0.590444284490711,1.557842603197827,0.6862262813022602,0.686146267011764
"mnist/digits","robuststd","labels0","Genie_g0.3:M25",0.1758228959058004,0.6781519674770864,0.3707275749658898,0.22234996594129006,1.0004388941665103,0.5158979788238246,0.5157534146921848
"mnist/digits","robuststd","labels0","Genie_g0.5:M25",0.09750498478331267,0.5085816156557339,0.34851451378323584,0.1472056047321481,0.6732518214739944,0.3990202947144696,0.3988137889315787
"mnist/digits","robuststd","labels0","Genie_g0.7:M25",0.006330974031603517,0.1779007361329651,0.31066625959595595,0.01242411453884854,0.11686338269009289,0.09134804284286994,0.09092679446042877
"mnist/digits","robuststd","labels0","Genie_g1.0:M25",6.502841165273911e-06,0.10069695567079529,0.3165980134429544,1.3514637973611408e-05,0.0005867876478386977,0.0005093458633351249,0.0001349542196891372
"mnist/digits","robuststd","labels0","Genie_g0.1:M15",0.5765805864216382,0.9135333333333333,0.6297900385091764,0.5820714399072558,1.5878930589674853,0.7088280220259064,0.7087527745959337
"mnist/digits","robuststd","labels0","Genie_g0.3:M15",0.22566496055308935,0.712337761559859,0.41170357010590924,0.2786532738333023,1.1062904121116408,0.565719697356418,0.5655910899892445
"mnist/digits","robuststd","labels0","Genie_g0.5:M15",0.08594560116278,0.4673407477249675,0.347801017722211,0.13500721001039756,0.5995374271685137,0.3701398133873457,0.369914227005629
"mnist/digits","robuststd","labels0","Genie_g0.7:M15",0.006995467807279003,0.19400357678579083,0.3082274267061075,0.013552203165378331,0.13798264290866688,0.10503022317798139,0.10463326073751592
"mnist/digits","robuststd","labels0","Genie_g1.0:M15",4.6007858180556264e-06,0.10071807964603574,0.31659078809762115,9.561490316251305e-06,0.0005952818648799381,0.0005166862241349783,0.00013412318291003663
