"dataset","preprocess","labels","method","ar","r","fm","afm","mi","nmi","ami"
"mnist/digits","std","labels0","Genie_g0.1:M25",0.4626464018930822,0.891108352568302,0.5269958260231558,0.4665475018259244,1.3209275171479822,0.5887267692797566,0.5886206519526509
"mnist/digits","std","labels0","Genie_g0.3:M25",0.06642449394728102,0.4510983079350114,0.3262839221895798,0.10489619432437418,0.4830886351354012,0.29875249894550426,0.2985010295482972
"mnist/digits","std","labels0","Genie_g0.5:M25",0.005445974261144343,0.20837867643007146,0.3027419497573954,0.010413034653540766,0.12332453305659458,0.09264110153022054,0.09224353766928148
"mnist/digits","std","labels0","Genie_g0.7:M25",0.0004938985141816236,0.13781743208576447,0.30992154722036,0.0009972506902285485,0.04600774882789661,0.03740039666622238,0.036939459058369185
"mnist/digits","std","labels0","Genie_g1.0:M25",-1.5375044518033992e-06,0.1007125595671775,0.3165820699147124,-3.1952876113869244e-06,0.0005615313000531781,0.0004873917790467199,0.00010481752505629282
"mnist/digits","std","labels0","GIc_A5_TC3:M25",0.07423632545766239,0.4557095338096666,0.33556288887859287,0.11723014329907998,0.4961124923812744,0.3119370989663764,0.31168402430081993
"mnist/digits","std","labels0","GIc_A5_TC11:M25",0.4070262732594361,0.8762005159257377,0.4808706254845278,0.4123104758303085,1.211715622501008,0.5469314857487956,0.5468130776629077
"mnist/digits","std","labels0","GIc_A1_TC3:M25",0.07423632545766239,0.4557095338096666,0.33556288887859287,0.11723014329907998,0.4961124923812744,0.3119370989663764,0.31168402430081993
"mnist/digits","std","labels0","GIc_A1_TC11:M25",0.4070262732594361,0.8762005159257377,0.4808706254845278,0.4123104758303085,1.211715622501008,0.5469314857487956,0.5468130776629077
"mnist/digits","std","labels0","GIc_A0_TC3:M25",0.07423632545766239,0.4557095338096666,0.33556288887859287,0.11723014329907998,0.4961124923812744,0.3119370989663764,0.31168402430081993
"mnist/digits","std","labels0","GIc_A0_TC11:M25",0.4070262732594361,0.8762005159257377,0.4808706254845278,0.4123104758303085,1.211715622501008,0.5469314857487956,0.5468130776629077
