"dataset","preprocess","labels","method","ar","r","fm","afm","mi","nmi","ami"
"other/chameleon_t4_8k","none","labels0","Genie_g0.1:M25",0.8485197007208257,0.9529841295543036,0.8776236031944503,0.8485287170608503,1.561577836641059,0.9122447500144357,0.9121559931500066
"other/chameleon_t4_8k","none","labels0","Genie_g0.3:M25",0.9991794859348574,0.9997461250867005,0.9993364532879875,0.999179488870849,1.7109640417138465,0.998193464559997,0.9981916398432042
"other/chameleon_t4_8k","none","labels0","Genie_g0.5:M25",0.9991794859348574,0.9997461250867005,0.9993364532879875,0.999179488870849,1.7109640417138465,0.998193464559997,0.9981916398432042
"other/chameleon_t4_8k","none","labels0","Genie_g0.7:M25",0.5803647288489568,0.8247656180308216,0.7224260379828877,0.6224587799393144,1.0489326337120075,0.7592572436189656,0.7591367181213766
"other/chameleon_t4_8k","none","labels0","Genie_g1.0:M25",0.0,0.19128759012015484,0.43736436768460557,0.0,0.0,0.0,-9.262229013275226e-17
"other/chameleon_t4_8k","none","labels0","GIc_A5_TC3:M25",0.8300657144461445,0.9478054401298178,0.8622995341022717,0.8301129788668137,1.561649251128058,0.9081592704999669,0.9080668067905358
"other/chameleon_t4_8k","none","labels0","GIc_A5_TC11:M25",0.824933177182068,0.9467261568380507,0.8578920069978409,0.8251791268175247,1.5291187718745318,0.8852759821480557,0.8851610028279594
"other/chameleon_t4_8k","none","labels0","GIc_A1_TC3:M25",0.8612803803541788,0.9578886752970396,0.8874285660643869,0.8616185686129323,1.5862037579862225,0.9170993579725465,0.9170163854220402
"other/chameleon_t4_8k","none","labels0","GIc_A1_TC11:M25",0.8534674476321672,0.9557181230387533,0.8810516108782418,0.8539848820606454,1.5862751724732214,0.9154256538587692,0.9153411663085356
"other/chameleon_t4_8k","none","labels0","GIc_A0_TC3:M25",0.9991794859348574,0.9997461250867005,0.9993364532879875,0.999179488870849,1.7109640417138465,0.998193464559997,0.9981916398432042
"other/chameleon_t4_8k","none","labels0","GIc_A0_TC11:M25",0.8534674476321672,0.9557181230387533,0.8810516108782418,0.8539848820606454,1.5862751724732214,0.9154256538587692,0.9153411663085356
"other/chameleon_t4_8k","none","labels0","GIc_A0_TC0:M25",0.5111211894702423,0.8507616304655392,0.6030701638561552,0.5112207091612652,1.178345129269496,0.682606606624787,0.6822883180608469
"other/chameleon_t4_8k","none","labels0","Genie_g0.1:M15",0.6389505296507236,0.8851923515668655,0.7108759820690087,0.6394415216844861,1.3742421575159909,0.8088544059410897,0.80865961540886
"other/chameleon_t4_8k","none","labels0","Genie_g0.3:M15",0.9994185434102381,0.9998201003659029,0.9995297695589288,0.9994185434346515,1.711915404368343,0.9987168552403213,0.9987155592237809
"other/chameleon_t4_8k","none","labels0","Genie_g0.5:M15",0.9994185434102381,0.9998201003659029,0.9995297695589288,0.9994185434346515,1.711915404368343,0.9987168552403213,0.9987155592237809
"other/chameleon_t4_8k","none","labels0","Genie_g0.7:M15",0.5803647288489568,0.8247656180308216,0.7224260379828877,0.6224587799393144,1.0489326337120075,0.7592572436189656,0.7591367181213766
"other/chameleon_t4_8k","none","labels0","Genie_g1.0:M15",0.0,0.19128759012015484,0.43736436768460557,0.0,0.0,0.0,-9.262229013275226e-17
"other/chameleon_t4_8k","none","labels0","GIc_A5_TC3:M15",0.8483715603833782,0.9529441645814837,0.877498492205261,0.8483798646569708,1.5606702748329213,0.9116471094494925,0.9115577548735205
"other/chameleon_t4_8k","none","labels0","GIc_A5_TC11:M15",0.8483715603833782,0.9529441645814837,0.877498492205261,0.8483798646569708,1.5606702748329213,0.9116471094494925,0.9115577548735205
"other/chameleon_t4_8k","none","labels0","GIc_A1_TC3:M15",0.9994185434102381,0.9998201003659029,0.9995297695589288,0.9994185434346515,1.711915404368343,0.9987168552403213,0.9987155592237809
"other/chameleon_t4_8k","none","labels0","GIc_A1_TC11:M15",0.8721274790068909,0.9609441444272281,0.8963009282701919,0.8722840664203687,1.5879980689305366,0.9205410495660016,0.9204613109178518
"other/chameleon_t4_8k","none","labels0","GIc_A0_TC3:M15",0.9994185434102381,0.9998201003659029,0.9995297695589288,0.9994185434346515,1.711915404368343,0.9987168552403213,0.9987155592237809
"other/chameleon_t4_8k","none","labels0","GIc_A0_TC11:M15",0.8721274790068909,0.9609441444272281,0.8963009282701919,0.8722840664203687,1.5879980689305366,0.9205410495660016,0.9204613109178518
"other/chameleon_t4_8k","none","labels0","GIc_A0_TC0:M15",0.8335628053781389,0.9493945344788738,0.86489507052977,0.8338373413008994,1.5082323698765359,0.8725119538746814,0.8723842826447433
"other/chameleon_t4_8k","none","labels0","Genie_g0.1:M9",0.6250849911281997,0.8816169560806324,0.698924507208945,0.6253530092499419,1.374295851916628,0.8061285887769204,0.8059317034716006
"other/chameleon_t4_8k","none","labels0","Genie_g0.3:M9",0.9994185434102381,0.9998201003659029,0.9995297695589288,0.9994185434346515,1.711915404368343,0.9987168552403213,0.9987155592237809
"other/chameleon_t4_8k","none","labels0","Genie_g0.5:M9",0.9994185434102381,0.9998201003659029,0.9995297695589288,0.9994185434346515,1.711915404368343,0.9987168552403213,0.9987155592237809
"other/chameleon_t4_8k","none","labels0","Genie_g0.7:M9",0.8153862240875211,0.9355498968411297,0.8647878899242699,0.8264013504903296,1.3741721985472608,0.8895895920000444,0.8895154163070428
"other/chameleon_t4_8k","none","labels0","Genie_g1.0:M9",0.0,0.19128759012015484,0.43736436768460557,0.0,0.0,0.0,-9.262229013275226e-17
"other/chameleon_t4_8k","none","labels0","GIc_A5_TC3:M9",0.677501957555731,0.9022820152163866,0.7377618291861904,0.6778238747315618,1.4251074807060489,0.8236617594871664,0.8234853305594715
"other/chameleon_t4_8k","none","labels0","GIc_A5_TC11:M9",0.6575024183659162,0.8972467721795389,0.7209251094571516,0.6581921095307818,1.3820313811794767,0.7950408878662422,0.7948367940159784
"other/chameleon_t4_8k","none","labels0","GIc_A1_TC3:M9",0.9994185434102381,0.9998201003659029,0.9995297695589288,0.9994185434346515,1.711915404368343,0.9987168552403213,0.9987155592237809
"other/chameleon_t4_8k","none","labels0","GIc_A1_TC11:M9",0.699028740035256,0.910281995062131,0.754661502510977,0.7001089004722837,1.4524352748036642,0.8331259102629751,0.8329602275276055
"other/chameleon_t4_8k","none","labels0","GIc_A0_TC3:M9",0.9994185434102381,0.9998201003659029,0.9995297695589288,0.9994185434346515,1.711915404368343,0.9987168552403213,0.9987155592237809
"other/chameleon_t4_8k","none","labels0","GIc_A0_TC11:M9",0.699028740035256,0.910281995062131,0.754661502510977,0.7001089004722837,1.4524352748036642,0.8331259102629751,0.8329602275276055
"other/chameleon_t4_8k","none","labels0","GIc_A0_TC0:M9",0.6707124546293715,0.9017962136795407,0.7314771984232348,0.6717228989934556,1.3978596451660368,0.8020155872830167,0.8018189679095368
"other/chameleon_t4_8k","none","labels0","Genie_g0.1:M5",0.8302284238119481,0.9478581923671024,0.8624297189691886,0.8302763939497877,1.5627468519851766,0.9087586727245696,0.9086668165175594
"other/chameleon_t4_8k","none","labels0","Genie_g0.3:M5",1.0,1.0,1.0,1.0,1.7141167610157058,1.0,1.0
"other/chameleon_t4_8k","none","labels0","Genie_g0.5:M5",0.9246602566473834,0.9755718207014819,0.9415719780093484,0.9266941922775657,1.5627468519851766,0.9529242370619928,0.952874131905106
"other/chameleon_t4_8k","none","labels0","Genie_g0.7:M5",0.5803647288489568,0.8247656180308216,0.7224260379828877,0.6224587799393144,1.0489326337120075,0.7592572436189656,0.7591367181213766
"other/chameleon_t4_8k","none","labels0","Genie_g1.0:M5",0.0,0.19128759012015484,0.43736436768460557,0.0,0.0,0.0,-9.262229013275226e-17
"other/chameleon_t4_8k","none","labels0","GIc_A5_TC3:M5",0.8707536616987783,0.9605653742024993,0.8951730388780257,0.8709363523183924,1.5891670842746537,0.9205843073352868,0.9205046683525397
