"dataset","preprocess","labels","method","ar","r","fm","afm","mi","nmi","ami"
"other/chameleon_t4_8k","robuststd","labels0","Genie_g0.1:M25",0.8451730036435007,0.9519888604986171,0.8748810984562668,0.8451775961914263,1.5559251127801481,0.9083798430872493,0.9082872359934012
"other/chameleon_t4_8k","robuststd","labels0","Genie_g0.3:M25",0.9972906679802632,0.9991616516733128,0.9978090218391065,0.9972906827800008,1.7059921984761226,0.9952991029649607,0.9952943547302401
"other/chameleon_t4_8k","robuststd","labels0","Genie_g0.5:M25",0.9972906679802632,0.9991616516733128,0.9978090218391065,0.9972906827800008,1.7059921984761226,0.9952991029649607,0.9952943547302401
"other/chameleon_t4_8k","robuststd","labels0","Genie_g0.7:M25",0.4875320857877538,0.7681478097839827,0.6721694679585167,0.5418573382874484,0.928927958701006,0.7021210009766456,0.7019651883443583
"other/chameleon_t4_8k","robuststd","labels0","Genie_g1.0:M25",0.0,0.19128759012015484,0.43736436768460557,0.0,0.0,0.0,-9.262229013275226e-17
"other/chameleon_t4_8k","robuststd","labels0","GIc_A5_TC3:M25",0.8684651855719776,0.9598521502128736,0.8933183686750522,0.8686376775648302,1.5819801128385618,0.9166057421478169,0.9165220962192843
"other/chameleon_t4_8k","robuststd","labels0","GIc_A5_TC11:M25",0.5893583404843286,0.8783949853158307,0.6644135041178879,0.5906330745909119,1.3353815949042425,0.7639322585552121,0.7636985104943504
"other/chameleon_t4_8k","robuststd","labels0","GIc_A1_TC3:M25",0.8684651855719776,0.9598521502128736,0.8933183686750522,0.8686376775648302,1.5819801128385618,0.9166057421478169,0.9165220962192843
"other/chameleon_t4_8k","robuststd","labels0","GIc_A1_TC11:M25",0.8684651855719776,0.9598521502128736,0.8933183686750522,0.8686376775648302,1.5819801128385618,0.9166057421478169,0.9165220962192843
"other/chameleon_t4_8k","robuststd","labels0","GIc_A0_TC3:M25",0.9972906679802632,0.9991616516733128,0.9978090218391065,0.9972906827800008,1.7059921984761226,0.9952991029649607,0.9952943547302401
"other/chameleon_t4_8k","robuststd","labels0","GIc_A0_TC11:M25",0.8684651855719776,0.9598521502128736,0.8933183686750522,0.8686376775648302,1.5819801128385618,0.9166057421478169,0.9165220962192843
"other/chameleon_t4_8k","robuststd","labels0","GIc_A0_TC0:M25",0.6472159366280684,0.8948793723903722,0.7121906318754512,0.6482384919152256,1.3389243685343286,0.7679026624197607,0.7676722560897924
"other/chameleon_t4_8k","robuststd","labels0","Genie_g0.1:M15",0.8473816095035156,0.9526498666441,0.8766870852918829,0.8473884862590952,1.5606002455693928,0.911421247639513,0.9113316833059941
"other/chameleon_t4_8k","robuststd","labels0","Genie_g0.3:M15",0.9991590955961787,0.9997398268818148,0.9993199526572797,0.9991590957308747,1.7119701545999222,0.9987511834289301,0.9987499220818841
"other/chameleon_t4_8k","robuststd","labels0","Genie_g0.5:M15",0.9991590955961787,0.9997398268818148,0.9993199526572797,0.9991590957308747,1.7119701545999222,0.9987511834289301,0.9987499220818841
"other/chameleon_t4_8k","robuststd","labels0","Genie_g0.7:M15",0.4878484057924997,0.7682659106683232,0.6724532321636363,0.5422368858655732,0.931745004120306,0.7043036158560682,0.7041489329129685
"other/chameleon_t4_8k","robuststd","labels0","Genie_g1.0:M15",0.0,0.19128759012015484,0.43736436768460557,0.0,0.0,0.0,-9.262229013275226e-17
"other/chameleon_t4_8k","robuststd","labels0","GIc_A5_TC3:M15",0.8710761203572089,0.9606369065416248,0.8954428031776616,0.8712412619335039,1.5870204778588703,0.9197553006384311,0.9196747931385377
"other/chameleon_t4_8k","robuststd","labels0","GIc_A5_TC11:M15",0.5890999891581382,0.8782577989621398,0.6642288402848092,0.5903444061047383,1.3373815277891392,0.7652145031820295,0.7649819824346602
"other/chameleon_t4_8k","robuststd","labels0","GIc_A1_TC3:M15",0.8765938006883371,0.9622068772503916,0.8999633492390464,0.8766920937322559,1.5870975378073082,0.9235747374984101,0.9234977340391696
"other/chameleon_t4_8k","robuststd","labels0","GIc_A1_TC11:M15",0.8710761203572089,0.9606369065416248,0.8954428031776616,0.8712412619335039,1.5870204778588703,0.9197553006384311,0.9196747931385377
"other/chameleon_t4_8k","robuststd","labels0","GIc_A0_TC3:M15",0.9991590955961787,0.9997398268818148,0.9993199526572797,0.9991590957308747,1.7119701545999222,0.9987511834289301,0.9987499220818841
"other/chameleon_t4_8k","robuststd","labels0","GIc_A0_TC11:M15",0.8710761203572089,0.9606369065416248,0.8954428031776616,0.8712412619335039,1.5870204778588703,0.9197553006384311,0.9196747931385377
"other/chameleon_t4_8k","robuststd","labels0","GIc_A0_TC0:M15",0.6706203825934597,0.9008266718365386,0.7318171877871315,0.6711664771417365,1.359126425098438,0.7832028682044787,0.78298661127477
"other/chameleon_t4_8k","robuststd","labels0","Genie_g0.1:M9",0.8517909270422986,0.9539254630736057,0.8803353559408253,0.8518114300154631,1.5627468519851766,0.913945605586099,0.9138584694003695
"other/chameleon_t4_8k","robuststd","labels0","Genie_g0.3:M9",1.0,1.0,1.0,1.0,1.7141167610157058,1.0,1.0
"other/chameleon_t4_8k","robuststd","labels0","Genie_g0.5:M9",1.0,1.0,1.0,1.0,1.7141167610157058,1.0,1.0
"other/chameleon_t4_8k","robuststd","labels0","Genie_g0.7:M9",0.6559616645864242,0.8648481955127695,0.765494572907531,0.6873729558542835,1.2363382718058054,0.8380661681350885,0.8379522040594087
"other/chameleon_t4_8k","robuststd","labels0","Genie_g1.0:M9",0.0,0.19128759012015484,0.43736436768460557,0.0,0.0,0.0,-9.262229013275226e-17
"other/chameleon_t4_8k","robuststd","labels0","GIc_A5_TC3:M9",0.8755082248364832,0.9619125029711304,0.8990677799991103,0.875626710399438,1.589167084274654,0.9222718200103899,0.9221937267058485
"other/chameleon_t4_8k","robuststd","labels0","GIc_A5_TC11:M9",0.8517909270422986,0.9539254630736057,0.8803353559408253,0.8518114300154631,1.5627468519851766,0.913945605586099,0.9138584694003695
"other/chameleon_t4_8k","robuststd","labels0","GIc_A1_TC3:M9",0.8783101121567493,0.9627098175387142,0.9013652072754995,0.8783971415550965,1.5891670842746537,0.9251374590184653,0.9250619999405296
"other/chameleon_t4_8k","robuststd","labels0","GIc_A1_TC11:M9",0.8755082248364832,0.9619125029711304,0.8990677799991103,0.875626710399438,1.589167084274654,0.9222718200103899,0.9221937267058485
"other/chameleon_t4_8k","robuststd","labels0","GIc_A0_TC3:M9",1.0,1.0,1.0,1.0,1.7141167610157058,1.0,1.0
"other/chameleon_t4_8k","robuststd","labels0","GIc_A0_TC11:M9",0.8755082248364832,0.9619125029711304,0.8990677799991103,0.875626710399438,1.589167084274654,0.9222718200103899,0.9221937267058485
"other/chameleon_t4_8k","robuststd","labels0","GIc_A0_TC0:M9",0.5698276781667773,0.872292940884171,0.6485255133168444,0.5709196831831881,1.2886968022649428,0.7380962314467082,0.7378365905378614
"other/chameleon_t4_8k","robuststd","labels0","Genie_g0.1:M5",0.8375145379525151,0.9498919399810848,0.8684707133064468,0.8375240467827137,1.5627468519851766,0.9102738690416928,0.9101833860341723
"other/chameleon_t4_8k","robuststd","labels0","Genie_g0.3:M5",1.0,1.0,1.0,1.0,1.7141167610157058,1.0,1.0
"other/chameleon_t4_8k","robuststd","labels0","Genie_g0.5:M5",1.0,1.0,1.0,1.0,1.7141167610157058,1.0,1.0
"other/chameleon_t4_8k","robuststd","labels0","Genie_g0.7:M5",0.4878484057924997,0.7682659106683232,0.6724532321636363,0.5422368858655732,0.9317450041203061,0.7043036158560682,0.7041489329129685
"other/chameleon_t4_8k","robuststd","labels0","Genie_g1.0:M5",0.0,0.19128759012015484,0.43736436768460557,0.0,0.0,0.0,-9.262229013275226e-17
