"dataset","preprocess","labels","method","ar","r","fm","afm","mi","nmi","ami"
"other/chameleon_t4_8k","std","labels0","Genie_g0.1:M25",0.8451730036435007,0.9519888604986171,0.8748810984562668,0.8451775961914263,1.5559251127801481,0.9083798430872493,0.9082872359934012
"other/chameleon_t4_8k","std","labels0","Genie_g0.3:M25",0.9955054935711045,0.9986088983099856,0.996365791854119,0.9955056477161992,1.6993285735544792,0.9915845897116096,0.9915760880384561
"other/chameleon_t4_8k","std","labels0","Genie_g0.5:M25",0.9955054935711045,0.9986088983099856,0.996365791854119,0.9955056477161992,1.6993285735544792,0.9915845897116096,0.9915760880384561
"other/chameleon_t4_8k","std","labels0","Genie_g0.7:M25",0.4875320857877538,0.7681478097839827,0.6721694679585167,0.5418573382874484,0.928927958701006,0.7021210009766456,0.7019651883443583
"other/chameleon_t4_8k","std","labels0","Genie_g1.0:M25",0.0,0.19128759012015484,0.43736436768460557,0.0,0.0,0.0,-9.262229013275226e-17
"other/chameleon_t4_8k","std","labels0","GIc_A5_TC3:M25",0.7091675702284777,0.9088919621584002,0.765797349418862,0.709282142845214,1.4193112489686106,0.8313917817759453,0.8312207839617354
"other/chameleon_t4_8k","std","labels0","GIc_A5_TC11:M25",0.5471434675543838,0.8629818656359292,0.6314701937738555,0.5474414429293994,1.2910440763191091,0.745493890761541,0.7452394924572315
"other/chameleon_t4_8k","std","labels0","GIc_A1_TC3:M25",0.7091675702284777,0.9088919621584002,0.765797349418862,0.709282142845214,1.4193112489686106,0.8313917817759453,0.8312207839617354
"other/chameleon_t4_8k","std","labels0","GIc_A1_TC11:M25",0.8451730036435007,0.9519888604986171,0.8748810984562668,0.8451775961914263,1.5559251127801481,0.9083798430872493,0.9082872359934012
"other/chameleon_t4_8k","std","labels0","GIc_A0_TC3:M25",0.9955054935711045,0.9986088983099856,0.996365791854119,0.9955056477161992,1.6993285735544792,0.9915845897116096,0.9915760880384561
"other/chameleon_t4_8k","std","labels0","GIc_A0_TC11:M25",0.8451730036435007,0.9519888604986171,0.8748810984562668,0.8451775961914263,1.5559251127801481,0.9083798430872493,0.9082872359934012
"other/chameleon_t4_8k","std","labels0","GIc_A0_TC0:M25",0.5441589433297627,0.8609659438503201,0.6298181248388859,0.5442789656643803,1.2248108309126997,0.7089101986273941,0.7086185459343824
"other/chameleon_t4_8k","std","labels0","Genie_g0.1:M15",0.8473816095035156,0.9526498666441,0.8766870852918829,0.8473884862590952,1.5606002455693928,0.911421247639513,0.9113316833059941
"other/chameleon_t4_8k","std","labels0","Genie_g0.3:M15",0.9991590955961787,0.9997398268818148,0.9993199526572797,0.9991590957308747,1.711970154599922,0.9987511834289301,0.9987499220818841
"other/chameleon_t4_8k","std","labels0","Genie_g0.5:M15",0.9991590955961787,0.9997398268818148,0.9993199526572797,0.9991590957308747,1.711970154599922,0.9987511834289301,0.9987499220818841
"other/chameleon_t4_8k","std","labels0","Genie_g0.7:M15",0.4878484057924997,0.7682659106683232,0.6724532321636363,0.5422368858655732,0.9317450041203061,0.7043036158560682,0.7041489329129685
"other/chameleon_t4_8k","std","labels0","Genie_g1.0:M15",0.0,0.19128759012015484,0.43736436768460557,0.0,0.0,0.0,-9.262229013275226e-17
"other/chameleon_t4_8k","std","labels0","GIc_A5_TC3:M15",0.8710761203572089,0.9606369065416248,0.8954428031776616,0.8712412619335039,1.5870204778588703,0.9197553006384311,0.9196747931385377
"other/chameleon_t4_8k","std","labels0","GIc_A5_TC11:M15",0.6503101188118285,0.8959765960233287,0.7146564584769863,0.6514343481170914,1.3772725333550637,0.7894836072260196,0.7892747341565846
"other/chameleon_t4_8k","std","labels0","GIc_A1_TC3:M15",0.8765938006883371,0.9622068772503916,0.8999633492390464,0.8766920937322559,1.5870975378073082,0.9235747374984101,0.9234977340391696
"other/chameleon_t4_8k","std","labels0","GIc_A1_TC11:M15",0.8710761203572089,0.9606369065416248,0.8954428031776616,0.8712412619335039,1.5870204778588703,0.9197553006384311,0.9196747931385377
"other/chameleon_t4_8k","std","labels0","GIc_A0_TC3:M15",0.9991590955961787,0.9997398268818148,0.9993199526572797,0.9991590957308747,1.711970154599922,0.9987511834289301,0.9987499220818841
"other/chameleon_t4_8k","std","labels0","GIc_A0_TC11:M15",0.8710761203572089,0.9606369065416248,0.8954428031776616,0.8712412619335039,1.5870204778588703,0.9197553006384311,0.9196747931385377
"other/chameleon_t4_8k","std","labels0","GIc_A0_TC0:M15",0.709582656848215,0.9117405066298913,0.7640307353380765,0.7098295620837798,1.34474233874814,0.7774299620255642,0.777207219940218
"other/chameleon_t4_8k","std","labels0","Genie_g0.1:M9",0.8515909447656858,0.953868512033064,0.8801688915749459,0.8516104868163832,1.5627468519851764,0.9138735507864256,0.9137863487003427
"other/chameleon_t4_8k","std","labels0","Genie_g0.3:M9",1.0,1.0,1.0,1.0,1.7141167610157058,1.0,1.0
"other/chameleon_t4_8k","std","labels0","Genie_g0.5:M9",1.0,1.0,1.0,1.0,1.7141167610157058,1.0,1.0
"other/chameleon_t4_8k","std","labels0","Genie_g0.7:M9",0.6559616645864242,0.8648481955127695,0.765494572907531,0.6873729558542835,1.2363382718058054,0.8380661681350885,0.8379522040594087
"other/chameleon_t4_8k","std","labels0","Genie_g1.0:M9",0.0,0.19128759012015484,0.43736436768460557,0.0,0.0,0.0,-9.262229013275226e-17
"other/chameleon_t4_8k","std","labels0","GIc_A5_TC3:M9",0.8753077449574348,0.9618555519305887,0.8989034591756043,0.875428663446051,1.5891670842746537,0.9221996661736979,0.9221215066571785
"other/chameleon_t4_8k","std","labels0","GIc_A5_TC11:M9",0.8487047611358661,0.9537303714059056,0.8773048608811916,0.8488278949721324,1.5266060039042133,0.8857812259187448,0.8856664947784659
"other/chameleon_t4_8k","std","labels0","GIc_A1_TC3:M9",0.8783101121567493,0.9627098175387142,0.9013652072754995,0.8783971415550965,1.5891670842746537,0.9251374590184653,0.9250619999405296
"other/chameleon_t4_8k","std","labels0","GIc_A1_TC11:M9",0.8753077449574348,0.9618555519305887,0.8989034591756043,0.875428663446051,1.5891670842746537,0.9221996661736979,0.9221215066571785
"other/chameleon_t4_8k","std","labels0","GIc_A0_TC3:M9",1.0,1.0,1.0,1.0,1.7141167610157058,1.0,1.0
"other/chameleon_t4_8k","std","labels0","GIc_A0_TC11:M9",0.8753077449574348,0.9618555519305887,0.8989034591756043,0.875428663446051,1.5891670842746537,0.9221996661736979,0.9221215066571785
"other/chameleon_t4_8k","std","labels0","GIc_A0_TC0:M9",0.5578343460384954,0.865920798890264,0.6403798731019316,0.5580802515324069,1.2641749696154285,0.7306436772745964,0.7303741868705566
