"dataset","preprocess","labels","method","ar","r","fm","afm","mi","nmi","ami"
"uci/ecoli","none","labels0","Genie_g0.1:M25",0.4807817090902217,0.771588486140725,0.6506655442604844,0.489394293656574,0.7141994131907945,0.5122178023252819,0.48980973130989675
"uci/ecoli","none","labels0","Genie_g0.3:M25",0.4807817090902217,0.771588486140725,0.6506655442604844,0.489394293656574,0.7141994131907945,0.5122178023252819,0.48980973130989675
"uci/ecoli","none","labels0","Genie_g0.5:M25",0.4807817090902217,0.771588486140725,0.6506655442604844,0.489394293656574,0.7141994131907945,0.5122178023252819,0.48980973130989675
"uci/ecoli","none","labels0","Genie_g0.7:M25",0.35351764154518783,0.6847547974413646,0.5985926203640745,0.3752628885431696,0.5580972533146985,0.441225224770587,0.4156539595032935
"uci/ecoli","none","labels0","Genie_g1.0:M25",0.35351764154518783,0.6847547974413646,0.5985926203640745,0.3752628885431696,0.5580972533146985,0.441225224770587,0.4156539595032935
"uci/ecoli","none","labels0","GIc_A5_TC3:M25",0.5596590924175068,0.8167199715707179,0.6905201292206546,0.5622744906687192,0.7770990725532294,0.5383520746161514,0.5184372744202839
"uci/ecoli","none","labels0","GIc_A5_TC11:M25",0.5017854440417486,0.7999822316986496,0.6403847176614081,0.5020586701190297,0.7798133290556404,0.5241485325668447,0.5039227047858552
"uci/ecoli","none","labels0","GIc_A1_TC3:M25",0.48430911377334696,0.7707178393745557,0.6564430331644295,0.4946339141109168,0.7143176878864705,0.5245419164912432,0.5036850292237398
"uci/ecoli","none","labels0","GIc_A1_TC11:M25",0.38617223179112026,0.7456289978678039,0.565974399353581,0.3877049262585614,0.7167677908355838,0.49071075716549245,0.4678666028616075
"uci/ecoli","none","labels0","GIc_A0_TC3:M25",0.4807817090902217,0.771588486140725,0.6506655442604844,0.489394293656574,0.7141994131907945,0.5122178023252819,0.48980973130989675
"uci/ecoli","none","labels0","GIc_A0_TC11:M25",0.39371591777452986,0.7485074626865671,0.5716348165815431,0.3953389838069993,0.7324548067278251,0.5016533912311952,0.47929283246048243
"uci/ecoli","none","labels0","GIc_A0_TC0:M25",0.29990549497498165,0.7581911869225302,0.4565804444013126,0.3118638564684131,0.8021594682084536,0.4719312502533012,0.44894308227942564
"uci/ecoli","none","labels0","Genie_g0.1:M15",0.5860683708079623,0.8181592039800996,0.7235870493360297,0.5963167547687347,0.7341722284702961,0.5340200742434735,0.5129794974154291
"uci/ecoli","none","labels0","Genie_g0.3:M15",0.5860683708079623,0.8181592039800996,0.7235870493360297,0.5963167547687347,0.7341722284702961,0.5340200742434735,0.5129794974154291
"uci/ecoli","none","labels0","Genie_g0.5:M15",0.5860683708079623,0.8181592039800996,0.7235870493360297,0.5963167547687347,0.7341722284702961,0.5340200742434735,0.5129794974154291
"uci/ecoli","none","labels0","Genie_g0.7:M15",0.4107737410961273,0.7036780383795309,0.6491135190759226,0.44320378302911095,0.5613656327664841,0.4596661810293766,0.4343708005589951
"uci/ecoli","none","labels0","Genie_g1.0:M15",0.4107737410961273,0.7036780383795309,0.6491135190759226,0.44320378302911095,0.5613656327664841,0.4596661810293766,0.4343708005589951
