"dataset","preprocess","labels","method","ar","r","fm","afm","mi","nmi","ami"
"uci/ecoli","robuststd","labels0","Genie_g0.1:M25",0.48081245795318167,0.7716062544420753,0.6506811971116663,0.48942284294000865,0.7152107169812432,0.5127571498731147,0.49026721436810666
"uci/ecoli","robuststd","labels0","Genie_g0.3:M25",0.48081245795318167,0.7716062544420753,0.6506811971116663,0.48942284294000865,0.7152107169812432,0.5127571498731147,0.49026721436810666
"uci/ecoli","robuststd","labels0","Genie_g0.5:M25",0.48081245795318167,0.7716062544420753,0.6506811971116663,0.48942284294000865,0.7152107169812432,0.5127571498731147,0.49026721436810666
"uci/ecoli","robuststd","labels0","Genie_g0.7:M25",0.48081245795318167,0.7716062544420753,0.6506811971116663,0.48942284294000865,0.7152107169812432,0.5127571498731147,0.49026721436810666
"uci/ecoli","robuststd","labels0","Genie_g1.0:M25",0.3535432493053848,0.6847725657427151,0.5986038614344947,0.37528691071674203,0.5591085571051473,0.4418481155132781,0.41617070088326225
"uci/ecoli","robuststd","labels0","Genie_g0.1:M15",0.5835715473113925,0.8187633262260128,0.7191902348664743,0.5921760782903346,0.7465049663162809,0.5367859371550424,0.5161153614243154
"uci/ecoli","robuststd","labels0","Genie_g0.3:M15",0.5835715473113925,0.8187633262260128,0.7191902348664743,0.5921760782903346,0.7465049663162809,0.5367859371550424,0.5161153614243154
"uci/ecoli","robuststd","labels0","Genie_g0.5:M15",0.5975897621128835,0.8225302061122957,0.7327312042714068,0.6087601898535987,0.7518970649551867,0.5516111722257624,0.5316971127754944
"uci/ecoli","robuststd","labels0","Genie_g0.7:M15",0.4173990300934531,0.7076048329779674,0.6528532907996227,0.4498470499076357,0.5728419224754899,0.4685821874877571,0.44372636428217976
"uci/ecoli","robuststd","labels0","Genie_g1.0:M15",0.4173990300934531,0.7076048329779674,0.6528532907996227,0.4498470499076357,0.5728419224754899,0.4685821874877571,0.44372636428217976
"uci/ecoli","robuststd","labels0","Genie_g0.1:M9",0.4653500373758119,0.8057213930348259,0.5952775359054961,0.4715906151399193,0.8644500865559668,0.5442714314041961,0.5256127372983124
"uci/ecoli","robuststd","labels0","Genie_g0.3:M9",0.6323666751046094,0.838912579957356,0.7551317832659735,0.6429344689734974,0.80155641945949,0.5944035738599726,0.5771851050757884
"uci/ecoli","robuststd","labels0","Genie_g0.5:M9",0.6323666751046094,0.838912579957356,0.7551317832659735,0.6429344689734974,0.80155641945949,0.5944035738599726,0.5771851050757884
"uci/ecoli","robuststd","labels0","Genie_g0.7:M9",0.4056237715416983,0.695771144278607,0.652313425216422,0.4420497630420293,0.5569721292262857,0.47496291672880564,0.4523631787552167
"uci/ecoli","robuststd","labels0","Genie_g1.0:M9",0.4056237715416983,0.695771144278607,0.652313425216422,0.4420497630420293,0.5569721292262857,0.47496291672880564,0.4523631787552167
"uci/ecoli","robuststd","labels0","Genie_g0.1:M5",0.3082996824906131,0.755863539445629,0.4672330162276532,0.316435248466444,0.8805951027835888,0.5180079458114136,0.4968043531376382
"uci/ecoli","robuststd","labels0","Genie_g0.3:M5",0.6919279499315774,0.8720149253731343,0.7840820907255664,0.6949473965640321,0.9690026384761367,0.6539071289369018,0.6384556839789325
"uci/ecoli","robuststd","labels0","Genie_g0.5:M5",0.6919279499315774,0.8720149253731343,0.7840820907255664,0.6949473965640321,0.9690026384761367,0.6539071289369018,0.6384556839789325
"uci/ecoli","robuststd","labels0","Genie_g0.7:M5",0.5121662238786193,0.7633084577114427,0.7050034600933295,0.5423109938166357,0.7357404711698666,0.5893626139046713,0.5716384706040522
"uci/ecoli","robuststd","labels0","Genie_g1.0:M5",0.04027868419755453,0.34049395877754096,0.5229603294009458,0.05536334292357067,0.13586208512047362,0.1511443761687089,0.10814423813726255
"uci/ecoli","robuststd","labels0","Genie_g0.1:M3",0.46270137234202025,0.8130241648898365,0.5902826829220079,0.4787973657006183,0.9650226536779865,0.5657568864810117,0.5467091509646788
"uci/ecoli","robuststd","labels0","Genie_g0.3:M3",0.7035058309118664,0.8854477611940299,0.7813723941136431,0.704026734108039,0.9744164845725334,0.6057883436715394,0.587870109425859
"uci/ecoli","robuststd","labels0","Genie_g0.5:M3",0.609007229319067,0.8485607675906184,0.71186190286223,0.6093530855700335,0.932040746721069,0.5880009344550616,0.569207395553519
"uci/ecoli","robuststd","labels0","Genie_g0.7:M3",0.526201316898885,0.7871179815209666,0.6887988397923975,0.539327777653139,0.7965913515803051,0.5691849574436109,0.5485459300438766
"uci/ecoli","robuststd","labels0","Genie_g1.0:M3",0.04584934661757178,0.34673063255152803,0.5253062628316058,0.06279308974515449,0.1462790357872568,0.16217339547190665,0.12175483763221091
"uci/ecoli","robuststd","labels0","Genie_g0.1:M1",0.36493119130795143,0.7829957356076759,0.509102250876942,0.38245664203811924,0.8806233153703931,0.507321650880076,0.4858816831923459
"uci/ecoli","robuststd","labels0","Genie_g0.3:M1",0.46493488425153034,0.8162579957356076,0.5922215302814418,0.4854534685377497,0.9730930471965255,0.563208618887053,0.544162699316734
"uci/ecoli","robuststd","labels0","Genie_g0.5:M1",0.6611253389168691,0.866773276474769,0.7522388016348295,0.6611352937837963,0.9306182245971125,0.5901111107837516,0.5713184220730767
"uci/ecoli","robuststd","labels0","Genie_g0.7:M1",0.5150161751124784,0.7800995024875622,0.6839583895645732,0.5295865509114319,0.7717322592160061,0.5590726186827729,0.5379501231264019
"uci/ecoli","robuststd","labels0","Genie_g1.0:M1",0.0398632173491386,0.33015280739161335,0.5289239536753159,0.055622101025049914,0.13207053593423998,0.1523627337326574,0.11436783949235571
"uci/ecoli","robuststd","labels0","GIc_A5_TC3:M25",0.5648154150360752,0.8194029850746268,0.6934536897586933,0.5671824314219638,0.7893733472370741,0.5445401567629774,0.5246858196608404
"uci/ecoli","robuststd","labels0","GIc_A5_TC11:M25",0.5064729762423452,0.8024164889836531,0.6431304530083233,0.506670697016265,0.7918029717796049,0.5300714569677322,0.5098880385506104
"uci/ecoli","robuststd","labels0","GIc_A1_TC3:M25",0.48081245795318167,0.7716062544420753,0.6506811971116663,0.48942284294000865,0.7152107169812432,0.5127571498731147,0.49026721436810666
"uci/ecoli","robuststd","labels0","GIc_A1_TC11:M25",0.38620300863272716,0.7456467661691543,0.5659904224096916,0.3877346498482546,0.7177790946260324,0.49123305821235475,0.46830606586709195
"uci/ecoli","robuststd","labels0","GIc_A0_TC3:M25",0.48081245795318167,0.7716062544420753,0.6506811971116663,0.48942284294000865,0.7152107169812432,0.5127571498731147,0.49026721436810666
"uci/ecoli","robuststd","labels0","GIc_A0_TC11:M25",0.3937468128795213,0.7485252309879176,0.5716509542007596,0.3953687876310338,0.7334661105182738,0.5021721153837796,0.4797308080097754
"uci/ecoli","robuststd","labels0","GIc_A0_TC0:M25",0.2990176491962059,0.757231698649609,0.45630131824877124,0.3103779008024355,0.8048338229329779,0.47529990697010205,0.45248931356369115
"uci/ecoli","robuststd","labels0","GIc_A5_TC3:M15",0.5556515755120668,0.804815209665956,0.7023683197008713,0.5653523315932334,0.7058137270130741,0.5131992918498378,0.4917302486272539
"uci/ecoli","robuststd","labels0","GIc_A5_TC11:M15",0.3731453291183596,0.7580312722103767,0.5369345568050224,0.3734473243634835,0.722458607167822,0.4741056416871888,0.4514335352292711
"uci/ecoli","robuststd","labels0","GIc_A1_TC3:M15",0.5611851229097442,0.8080668088130775,0.7049813498114831,0.570265336486468,0.7196693237337123,0.5159629053243154,0.49392987923782444
"uci/ecoli","robuststd","labels0","GIc_A1_TC11:M15",0.3836882814203592,0.7640191897654585,0.5427748376062123,0.3842885410510365,0.7376791357479603,0.47710807783100634,0.4539176147737733
