"dataset","preprocess","labels","method","ar","r","fm","afm","mi","nmi","ami"
"wut/circles","none","labels0","Genie_g0.1:M25",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","Genie_g0.3:M25",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","Genie_g0.5:M25",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","Genie_g0.7:M25",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","Genie_g1.0:M25",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A5_TC3:M25",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A5_TC11:M25",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A1_TC3:M25",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A1_TC11:M25",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A0_TC3:M25",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A0_TC11:M25",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A0_TC0:M25",0.5294066965796617,0.8200638909727432,0.6506914818683635,0.5297129711638431,0.8827996862383978,0.6437888382339336,0.6434960306177036
"wut/circles","none","labels0","Genie_g0.1:M15",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","Genie_g0.3:M15",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","Genie_g0.5:M15",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","Genie_g0.7:M15",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","Genie_g1.0:M15",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A5_TC3:M15",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A5_TC11:M15",0.8423419906268259,0.940145536384096,0.8826330739664153,0.8425454487434768,1.2189528509043992,0.8855416324839348,0.8854479083755408
"wut/circles","none","labels0","GIc_A1_TC3:M15",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A1_TC11:M15",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A0_TC3:M15",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A0_TC11:M15",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A0_TC0:M15",0.6408462439760979,0.859797824456114,0.7370887189813826,0.6423458166167793,0.9805189419994249,0.7229321528458669,0.7227018741856245
"wut/circles","none","labels0","Genie_g0.1:M9",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","Genie_g0.3:M9",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","Genie_g0.5:M9",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","Genie_g0.7:M9",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","Genie_g1.0:M9",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A5_TC3:M9",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A5_TC11:M9",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A1_TC3:M9",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A1_TC11:M9",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A0_TC3:M9",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A0_TC11:M9",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A0_TC0:M9",0.6193578073559578,0.8519637409352339,0.7205510700053819,0.6205588376552951,0.9850386209331055,0.7272609666868001,0.7270339576375909
"wut/circles","none","labels0","Genie_g0.1:M5",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","Genie_g0.3:M5",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","Genie_g0.5:M5",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","Genie_g0.7:M5",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","Genie_g1.0:M5",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A5_TC3:M5",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A5_TC11:M5",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A1_TC3:M5",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A1_TC11:M5",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A0_TC3:M5",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A0_TC11:M5",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A0_TC0:M5",0.6961167090776291,0.8823922230557639,0.776405255038634,0.6971396665504234,1.0577781215098938,0.777076550781694,0.7768919444066466
"wut/circles","none","labels0","Genie_g0.1:M3",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","Genie_g0.3:M3",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","Genie_g0.5:M3",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","Genie_g0.7:M3",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","Genie_g1.0:M3",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A5_TC3:M3",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A5_TC11:M3",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A1_TC3:M3",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A1_TC11:M3",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A0_TC3:M3",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A0_TC11:M3",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A0_TC0:M3",0.7715328908566395,0.9129451112778194,0.8302389838331005,0.7718392156389583,1.0956459499331244,0.7981637046864289,0.7979979687987748
"wut/circles","none","labels0","Genie_g0.1:M1",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","Genie_g0.3:M1",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","Genie_g0.5:M1",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","Genie_g0.7:M1",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","Genie_g1.0:M1",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A5_TC3:M1",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A5_TC11:M1",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A1_TC3:M1",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A1_TC11:M1",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A0_TC3:M1",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A0_TC11:M1",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","none","labels0","GIc_A0_TC0:M1",0.46955972337208435,0.7938292073018255,0.6098764551099568,0.4704416307734195,0.8261320027191416,0.6088414608617404,0.608516488090138
"wut/cross","none","labels0","Genie_g0.1:M25",0.6392667845049899,0.8582676338169084,0.7371618315056898,0.6412983184221118,0.9902239322616687,0.7326077574742424,0.7321608252024587
"wut/cross","none","labels0","Genie_g0.3:M25",0.43650358546747015,0.7572381190595298,0.6133963765042686,0.44728462453495804,0.7952875952914384,0.6201377442069479,0.6194679578892549
"wut/cross","none","labels0","Genie_g0.5:M25",0.048664382018906396,0.44966133066533265,0.4396595447547966,0.05841729354297378,0.2840295609089053,0.2709271825831352,0.2693483784110953
"wut/cross","none","labels0","Genie_g0.7:M25",0.06816901451343221,0.44959829914957483,0.46114993547418437,0.08308516548847952,0.28189321928855615,0.274715673130549,0.2731094429925563
"wut/cross","none","labels0","Genie_g1.0:M25",8.875214185983191e-05,0.2556778389194597,0.49669545409363186,0.0001321381055612631,0.008372313071482104,0.011717389046134072,0.007939232147262124
"wut/cross","none","labels0","GIc_A5_TC3:M25",0.33842913637704863,0.7042141070535268,0.5548824273088943,0.3513757748167697,0.6877320900058408,0.5470869184567171,0.546272002085781
