"dataset","preprocess","labels","method","ar","r","fm","afm","mi","nmi","ami"
"wut/circles","std","labels0","Genie_g0.1:M25",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","Genie_g0.3:M25",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","Genie_g0.5:M25",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","Genie_g0.7:M25",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","Genie_g1.0:M25",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A5_TC3:M25",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A5_TC11:M25",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A1_TC3:M25",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A1_TC11:M25",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A0_TC3:M25",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A0_TC11:M25",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A0_TC0:M25",0.5222961318807686,0.8171559139784946,0.6456138756615687,0.5226300008542832,0.8764621781091615,0.6396131172123378,0.6393166683266405
"wut/circles","std","labels0","Genie_g0.1:M15",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","Genie_g0.3:M15",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","Genie_g0.5:M15",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","Genie_g0.7:M15",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","Genie_g1.0:M15",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A5_TC3:M15",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A5_TC11:M15",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A1_TC3:M15",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A1_TC11:M15",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A0_TC3:M15",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A0_TC11:M15",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A0_TC0:M15",0.7116236530417328,0.8897285571392848,0.7861222590812937,0.7120382410604859,1.0650192921666504,0.7768150048293788,0.7766315119500355
"wut/circles","std","labels0","Genie_g0.1:M9",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","Genie_g0.3:M9",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","Genie_g0.5:M9",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","Genie_g0.7:M9",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","Genie_g1.0:M9",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A5_TC3:M9",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A5_TC11:M9",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A1_TC3:M9",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A1_TC11:M9",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A0_TC3:M9",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A0_TC11:M9",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A0_TC0:M9",0.5549316257016526,0.8227833208302076,0.6781004285386155,0.5577322056613663,0.8917462758079272,0.6664286133546774,0.6661475626693234
"wut/circles","std","labels0","Genie_g0.1:M5",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","Genie_g0.3:M5",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","Genie_g0.5:M5",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","Genie_g0.7:M5",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","Genie_g1.0:M5",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A5_TC3:M5",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A5_TC11:M5",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A1_TC3:M5",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A1_TC11:M5",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A0_TC3:M5",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A0_TC11:M5",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A0_TC0:M5",0.6200611496497216,0.8533992248062016,0.7196331579766326,0.6208123087133233,0.9383424063100017,0.6893933080694555,0.6891360594081507
"wut/circles","std","labels0","Genie_g0.1:M3",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","Genie_g0.3:M3",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","Genie_g0.5:M3",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","Genie_g0.7:M3",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","Genie_g1.0:M3",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A5_TC3:M3",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A5_TC11:M3",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A1_TC3:M3",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A1_TC11:M3",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A0_TC3:M3",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A0_TC11:M3",1.0,1.0,1.0,1.0,1.3862943611198906,1.0,1.0
"wut/circles","std","labels0","GIc_A0_TC0:M3",0.7870636774916868,0.9195531382845712,0.8409440952620484,0.7871370238088307,1.1067247995551548,0.8019322137244258,0.8017704482915364
